Job ID,IMEI,SN,Make,Model,Color,Memory,Device Type,Model Code,Last Repair Status,Defect Type,Defect Desc,Repair Description,Part1,Qty1,Part2,Qty2,Part3,Qty3,Part4,Qty4,Part5,Qty5,Part6,Qty6,Part7,Qty7,Part8,Qty8,Part9,Qty9,Part10,Qty10,Part11,Qty11,Part12,Qty12,Part13,Qty13,Part14,Qty14,Part15,Qty15
1272227,351451340675693,RFCX613MJRM,Samsung,SM-F956B/DS,Silver,256GB,Mobile phone,SM-F956BZSBEUB,REPAIRED,UB,intermittently image when it&apos;s folded,"Replaced - screen, tapes, SP",GH82-35137A,1,GH81-26062A,2,GH82-35138A,1,GH82-35046A,1,GH82-35139A,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1272910,351451340621135,RFCX612ZFYD,Samsung,SM-F956B/DS,Silver,256GB,Mobile phone,SM-F956BZSBEUB,REPAIRED,L1,SP,Replaced sp,GH81-26062A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1282612,358223750658813,RZCXB0Z98AD,Samsung,SM-F741B,Silver,256GB,Mobile phone,SM-F741BZSGEUB,REPAIRED,UB,black spots on fold line,Replaced screen,GH82-35022A,1,GH82-35145A,1,GH98-49714A,1,GH81-26035A,2,GH02-26398A,1,GH02-26374A,1,GH82-35141A,1,GH82-35143A,1,0,0,,,,,,,,,,,,
1289718,355622364488561,R5CWC3MFTBK,Samsung,SM-S926B/DS,Violet,256GB,Mobile phone,SM-S926BZVDEUB,REPAIRED,L2,front cam,replaced front camera,GH96-16298A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1289981,352688830785933,RFCXC0REJBY,Samsung,SM-S931B/DS,Light Blue,128GB,Mobile phone,SM-S931BLBDEUB,REPAIRED,UB,Oled+Front Camera,Oled+Front Camera,GH82-36478A,1,GH82-36327A,1,GH82-36476A,1,GH96-18300A,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1290085,352688831111873,RFCXC147SLP,Samsung,SM-S931B/DS,Light Blue,128GB,Mobile phone,SM-S931BLBDEUB,REPAIRED,UB,Oled,Oled,GH82-36327A,1,GH82-36478A,1,GH82-36476A,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1290165,352688830779985,RFCXC0RE0AB,Samsung,SM-S931B/DS,Light Blue,128GB,Mobile phone,SM-S931BLBDEUB,REPAIRED,L2,Front Camera FAIL,replaced front cam,GH96-18300A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1290166,351478610789821,R5CY42BBTKM,Samsung,SM-S937B/DS,Silver,256GB,Mobile phone,SM-S937BZSDEUB,REPAIRED,L2,&quot;Camera front&quot;,replaced front camera and tapes,GH82-37312A,1,GH96-19403A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1290299,354222655729855,R5CXC32E5VE,Samsung,SM-S938B/DS,Blue,256GB,Mobile phone,SM-S938BZBDEUB,REPAIRED,L2,&quot;Call test fail&quot;,usb port and flex,GH82-37696A,1,GH96-18321A,1,GH59-15810A,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1290378,352688831110545,RFCXC147NKT,Samsung,SM-S931B/DS,Light Blue,128GB,Mobile phone,SM-S931BLBDEUB,REPAIRED,L2,&quot;Camera front&quot;,front cam,GH96-18300A,1,GH82-36476A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1290382,354222655866418,R5CXC3JMSKY,Samsung,SM-S938B/DS,Blue,256GB,Mobile phone,SM-S938BZBDEUB,REPAIRED,L2,&quot;Camera front&quot;,front cam replaced,GH82-37696A,1,GH96-17872A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1292675,353074281685220,R5CT51GNAYA,Samsung,SM-S908B/DS,Black,128GB,Mobile phone,SM-S908BZKDEUB,REPAIRED,L2,Replacement main board,Replacement main board,GH82-27534A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1292800,351234163558497,RZCX31CH4BZ,Samsung,SM-A556B/DS,Light Violet,128GB,Mobile phone,SM-A556BLVAEUE,REPAIRED,L1,tape,Replaced tape,GH82-34540A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1296497,351885211281877,R5CWC4GYNRF,Samsung,SM-S928B/DS,Titanium,256GB,Mobile phone,SM-S928BZTGEUB,REPAIRED,UB,&quot;Camera front&quot;+&quot;Missing Stylus&quot;+screen+b,Refurb,GH98-48962A,1,GH96-16577A,1,GH82-33349A,1,GH82-33387A,1,GH82-33399A,1,GH82-33544A,1,GH82-33385A,1,GH96-16299A,1,0,0,,,,,,,,,,,,
1296551,351478610736152,R5CY3415J3L,Samsung,SM-S937B/DS,Silver,256GB,Mobile phone,SM-S937BZSDEUB,REPAIRED,L2,&quot;Camera front&quot;,tmt refurb,GH96-19403A,1,GH82-37312A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1296807,353936440335675,R5CX61EYARR,Samsung,SM-F741B,Light Blue,256GB,Mobile phone,SM-F741BLBGEUB,REPAIRED,UB,"Oled+&quot;Camera back,Camera front,Dark shadows&quot;",Replaced screen and cameras,GH96-16980A,1,GH96-15978A,1,GH81-26035A,1,GH82-35141A,1,GH82-35022A,1,GH82-35145A,1,GH82-35143A,1,GH02-26398A,1,GH98-49714A,1,,,,,,,,,,,,
1298452,355928812007428,R5CW12MN4EY,Samsung,SM-S918B/DS,Black,256GB,Mobile phone,SM-S918BZKDEUB,REPAIRED,UB,"screen , BG , sim tray ,  Damaged,Scratches around rear came",screen frame batt cover sim tray,GH81-24724A,1,GH82-30400A,1,GH82-30459A,1,GH98-48039A,1,GH96-15833A,1,GH82-33783A,1,0,0,0,0,0,0,,,,,,,,,,,,
1298454,355928812025743,R5CW12MPSYM,Samsung,SM-S918B/DS,Black,256GB,Mobile phone,SM-S918BZKDEUB,REPAIRED,UB,flickering screen,"Replaced screen, frame, back cover",GH82-33783A,1,GH96-15833A,1,GH82-30400A,1,GH82-30459A,1,GH81-24724A,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1299303,353936440340048,R5CX61EYQ0H,Samsung,SM-F741B,Light Blue,256GB,Mobile phone,SM-F741BLBGEUB,REPAIRED,UB,"screen , sub screen",replaced screen/tapes/screen protector/sub screen,GH82-35141A,1,GH82-35143A,1,GH81-26035A,1,GH97-30012C,1,GH02-26374A,1,GH02-26398A,1,GH98-49714A,1,GH82-35145A,1,GH82-35022A,1,,,,,,,,,,,,
1299681,353936443174212,R5CX72GDF0Y,Samsung,SM-F741B,Light Blue,256GB,Mobile phone,SM-F741BLBGEUB,REPAIRED,L2,OOW due to impact damage- Punctures in the screenCondition:,"Replaced - screen, batteries, tapes",GH82-35141A,1,GH82-35143A,1,GH82-35014C,1,GH82-35024A,1,GH82-35023A,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1300010,355928810769565,R5CTC1HVLVN,Samsung,SM-S918B/DS,Green,256GB,Mobile phone,SM-S918BZGDEUB,REPAIRED,AE,"&quot;Missing Stylus,Scratches around rear camera&quot;",Replaced pen,GH96-15658C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1300109,355928811917841,R5CW12DMW4V,Samsung,SM-S918B/DS,Green,256GB,Mobile phone,SM-S918BZGDEUB,REPAIRED,L2,"&quot;Camera front&quot; , Stylus&quot; , screen","OOW-front camera, S-pen and tape",GH96-15541A,1,GH96-15658C,1,GH81-23177A,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1300598,353936442634489,R5CX71HLB4Z,Samsung,SM-F741B,Light Blue,256GB,Mobile phone,SM-F741BLBGEUB,REPAIRED,L2,OOW due to damage to hinge and cracked Back glassCondition p,"Main screen, frame, batteries, tapes replaced",GH82-35023A,1,GH82-35143A,1,GH82-35141A,1,GH82-35182C,1,GH82-35024A,1,GH82-35014C,1,0,0,0,0,0,0,,,,,,,,,,,,
1300790,352648381501188,R5CY80CX5PN,Samsung,SM-F766B,Dark Blue,512GB,Mobile phone,SM-F766BDBHEUB,REPAIRED,L2,Condition: PoorOOW due by puncture on main screen both sides,"Replaced - Screen, Batteries, kits.",GH82-37581A,1,GH82-37583A,1,GH82-37582A,1,GH82-37820A,1,GH82-37818A,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1301067,350300270341647,R5CX13QKJ4D,Samsung,SM-S928B/DS,Light Blue,,Mobile phone,SM-S928BLBHEUB,REPAIRED,UB,OOW due to damage to the screenCondition goodIt fell on the,replaced screen/tapes,GH82-33385A,1,GH82-33544A,1,GH82-33392A,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1301126,352648381729052,R5CY84BDB2B,Samsung,SM-F766B,Light Green,512GB,Mobile phone,SM-F766BLGHEUB,REPAIRED,L2,OOW due to damage to the screen and broken back coverConditi,replaced screens batteries and tapes,GH82-37579A,1,GH82-37583A,1,GH82-37582A,1,GH82-37581E,1,GH81-27575A,1,GH82-37820A,1,GH82-37818A,1,0,0,0,0,,,,,,,,,,,,
1301329,351451340564012,RFCX60RCDEZ,Samsung,SM-F956B/DS,Silver,256GB,Mobile phone,SM-F956BZSBEUB,REPAIRED,UB,Grading_discrepancy_subscreen,"Replaced OLED, sub pba and tapes",GH82-35039A,1,GH82-35137A,1,GH82-35138A,1,GH82-35139A,1,GH82-35046A,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1302087,350929876357530,R3CX302ZQZF,Samsung,SM-F731B,Grey,256GB,Mobile phone,SM-F731BZAGEUB,REPAIRED,L2,IQC skipped - no display,"Repaired screen, frame, batteries, tapes, cover screen",GH82-31828A,1,GH82-34625A,2,GH81-23854A,2,GH97-29135A,1,GH82-31700A,1,GH82-35929A,1,GH82-35928A,1,GH82-31699A,1,0,0,,,,,,,,,,,,
1302447,350117734341652,RFCY70DA82V,Samsung,SM-F966B/DS,Black,,Mobile phone,SM-F966BZKCEUB,REPAIRED,UB,IW - no display main screen,screen and PBA - camera isses not passing OQC test,GH82-37753A,1,GH82-37822A,2,GH82-37824A,1,GH82-38023A,1,GH81-27757A,1,GH82-37543A,1,0,0,0,0,0,0,,,,,,,,,,,,
1302505,350117735245183,RFCY71HJ0MJ,Samsung,SM-F966B/DS,Silver,,Mobile phone,SM-F966BZSCEUB,REPAIRED,L2,IT EAS ON CHARGE ON MY BEDSIDE CABINET LIKE IT IS EVERY NIGH,SCREEN ADN BATTERY,GH82-37824A,1,GH81-27757A,2,GH82-37544A,1,GH82-38023A,1,GH82-37550A,1,GH82-37549A,1,GH82-38664A,1,0,0,0,0,,,,,,,,,,,,
1302703,350347646559253,,Samsung,SM-A137F,Black,,Mobile phone,,REPAIRED,SU,OOW POP neededCondition goodGoogle account was logged in a c,Removed FRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1302705,353341126703371,R58T51LSABF,Samsung,SM-A135F/DSN,Black,,Mobile phone,SM-A135FZKVEUB,REPAIRED,SU,Condition: FairOOW by datequery Issue: Google account was lo,FRP unlock complete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1302709,350439420688299,R5CW82ZCRKX,Samsung,SM-S918B/DS,Red,,Mobile phone,SM-S918BZRPEUB,REPAIRED,UB,Condition: PoorOOW by datequery screen smashed,screen,GH82-33783A,1,GH81-24724A,1,GH81-24723A,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1303216,350966321039107,R3CY90F1B7K,Samsung,SM-F966B/DS,Dark Blue,,Mobile phone,SM-F966BDBBEUB,REPAIRED,UB,broken screen,screen replaced,GH82-38023A,1,GH82-37824A,1,GH82-37822A,1,GH82-37543A,1,GH81-27757A,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1303218,350117736300359,RFGYB42V49P,Samsung,SM-F966B/DS,Black,,Mobile phone,SM-F966BZKCEUB,REPAIRED,UB,OOW Impact DamagePunctures in the displayCondition: FairQuer,"Replaced OLED, Screen protector, Cover and tapes",GH82-37534C,1,GH81-27757A,2,GH82-37824A,1,GH82-37543A,1,GH82-38023A,1,GH82-37822A,1,0,0,0,0,0,0,,,,,,,,,,,,
1303259,353936444209280,R5CX82CVDZB,Samsung,SM-F741B,Silver,256GB,Mobile phone,SM-F741BZSGEUB,REPAIRED,UB,Condition - Fair OW- dented main screen QUERY- Small thing o,screen,GH82-35022A,1,GH82-35145A,1,GH81-26035A,1,GH82-35141A,1,GH82-35143A,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1303321,350798025524898,R5CY81CS9VE,Samsung,SM-F766B,Black,256GB,Mobile phone,SM-F766BZKGEUB,REPAIRED,L2,Condition: FairQuery: My screen is just showing a completely,replaced screen/batteries/tapes,GH82-37818A,1,GH82-37820A,1,GH82-38794C,1,GH82-37582A,1,GH82-37583A,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1303373,354949613672609,R5CRA1M46NR,Samsung,SM-F711B,Black,256GB,Mobile phone,SM-F711BZKFEUA,REPAIRED,L2,OOW By dateCondition: FairQuery: Top half of inner screen is,"OCTA, Batteries and Tapes Replaced",GH97-26773A,1,GH82-26257A,1,GH82-35108A,1,GH82-26270A,1,GH82-26271A,1,GH82-27243A,1,GH81-22922A,1,0,0,0,0,,,,,,,,,,,,
1303399,358223750143378,RZCX828QKGT,Samsung,SM-F741B,Light Blue,256GB,Mobile phone,SM-F741BLBGEUB,REPAIRED,IP,"OOW Impact DamagePuncture in the display, high damage on the",repair price declined - return without repair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1303428,350798020871476,R5CY63VWMLF,Samsung,SM-F766B,Black,256GB,Mobile phone,SM-F766BZKGEUB,REPAIRED,UB,"Display is damaged - Puncture marks, dead pixels.",replaced screen/tapes/screen protector,GH81-27575A,1,GH82-37820A,1,GH82-37818A,1,GH82-37816A,1,GH82-37578A,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1303842,355101740411647,R5CY71H4J2L,Samsung,SM-F761B,Black,,Mobile phone,SM-F761BZKHEUB,REPAIRED,UB,"Condition: PoorMM OFFPuncture marks and flickering, black pi",Replaced screen,GH82-37735A,1,GH82-35145A,1,GH82-35141A,1,GH82-35143A,1,GH81-27995A,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1303851,350622234169065,RFCY70QNGMP,Samsung,SM-F966B/DS,Black,,Mobile phone,SM-F966BZKNEUB,REPAIRED,L2,Frame dented high damage - OOW condition.,"Screen, frame, battery.",GH82-37823A,1,GH82-37549A,1,GH82-37550A,1,GH82-38664C,1,GH82-37824A,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1304012,351337091006909,R5CX72GB7LJ,Samsung,SM-F741B,Light Blue,512GB,Mobile phone,SM-F741BLBHEUB,REPAIRED,UB,Condition: PoorOOW due by-puncture on the screen,"Replaced screen, tapes, sp",GH82-35022A,1,GH81-26035A,2,GH82-35141A,1,GH82-35143A,1,GH82-35145A,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
